Cod_Regiune,act_wee_wo_ho,emp_pers,emp_tech_agriculture,emp_tech_education,emp_tech_electricity_and_gas,emp_tech_finance_and_insurance,emp_tech_high_tech_knowhow_intensive,emp_tech_high_tech_sectors,emp_tech_human_health_and_social_work,emp_tech_info_and_communcation,emp_tech_manufacturing,emp_tech_public_administration,emp_tech_services,emp_tech_transport,emp_tech_wholesale_and_retail_trade,gdp,gva,hr_st,inab_finan_expen,labour_force,labour_mk_slack,pop_prv_host_ed,pop_tot_20_64,y_nw_ned_nt
ITI4,35.6,2288.2,61.7,164.2,189.3,80.7,163.5,196.1,191.5,163.1,180.7,202.9,1935.5,127.9,536.3,238561.3,0.5,32,23.5,2464.2,399.8,912.9,3406177,16.9
LT01,38.2,444.9,8.4,40,35.3,19.1,40.6,44.7,30.9,40.4,52.2,35,374.1,33.3,78.8,33558.92,4.4,62.6,33.6,468.3,36.7,315.7,520798,11.2
LT02,38.4,915.1,67.8,89.8,103.7,9.7,21.6,26.3,78.8,21.3,176.9,53.4,617,67.1,168.1,40233.91,-2.8,41.6,43.5,994,115.2,450.3,1203790,16.5
HU12,38,656,9.2,51,74.8,17.2,36.4,57.7,34.7,33.1,124.2,53,468.8,51.4,121.9,23271.44,-2.3,34,35.7,676.8,29.1,246.6,795533,11.4
HU21,38.4,520.5,24.4,33.1,55.7,6.9,11.3,28.9,31.3,12,165.3,37.2,288.7,29.9,88.5,18965.14,-4.3,23.6,24.3,531.3,16.7,134.8,636236,10.3
HU22,37.7,481.5,23.8,33,51.3,6.7,7.6,20,36.3,7.7,134.6,24.2,284.1,29.6,92.5,17737.69,-1,23.4,22.4,493.9,21.5,124.6,593306,7.2
HU31,38.3,476.3,22,39.4,66,6.7,7.6,22.9,33.7,8,130.8,48,271.8,26.1,67.7,14027.65,-3.7,21.7,39.5,507.6,47,120.2,642568,20.3
HU32,37.6,638.1,53.4,56,63.6,9.4,13.6,29.3,49.7,12.6,146,72.8,393.8,36.8,95.3,18530.17,2.1,22.5,40.5,682.7,60,164.9,836414,18.6
HU33,37.6,542.5,52.4,42,55.3,8.2,9.8,13.3,41.2,11.8,120.9,51,333.5,28,95.9,17169.66,-0.2,23.7,34.3,566.9,34.9,144,707703,14.8
AT12,34.2,793.1,39.1,56.9,72.6,33.1,32,41,87.5,30.5,142.6,73.7,582.7,34.9,155.1,73205.49,-1.6,38,20.1,827.3,69.8,362.3,1021954,9.2
AT13,33.1,890.7,4,80.9,65.1,35.5,67.4,75.8,109.5,62.9,63.6,61.7,791.4,49.9,178.8,118679.71,2.2,48.2,34.9,980.2,174.1,556.6,1274042,14.1
AT21,33.8,250.9,12.4,14,30.7,5.3,5.7,14.7,34,6,43.6,18.2,177.5,10.5,55.6,26638.91,-1.5,36.3,22.5,262.2,23.9,113.1,335434,8.5
AT22,33.7,591.3,28.5,49.6,60.6,13.9,14.8,29.3,67.1,14.4,122,40.1,412.9,24,117.4,61223.94,-1.4,35.3,19,616.1,54,248.5,767042,8.3
AT31,33.3,733.4,31.1,39.5,73.8,24.3,22.6,28.4,84,23,191.6,54.4,482.5,32.1,131.6,81776.31,-1.9,33.8,18.7,757.8,61.8,297.8,920291,9.3
AT32,33.9,276.9,9.2,16.1,25.5,9,8,11.2,29.4,7.8,43.5,18.8,214.6,15.5,70.6,36289.85,-0.2,36.7,22,284.7,18.2,121.9,344835,7.3
AT33,33.6,377,11.3,30.5,36.7,10.5,6.8,13.3,48.3,7.4,57.6,20.9,294.7,21.7,99.4,41953.24,-1,33.7,19.5,388,27.7,152.2,475470,7.4
PL21,38.9,1482.5,61.2,139.1,162.6,47.3,87.7,95.9,104.4,85.8,269.1,91.8,1009.8,69.1,285,60274.73,2.1,45,25.4,1516.5,55.6,756,2004022,8.7
PL22,38.9,1900.6,124.7,157.9,185.5,42.5,66.5,74.3,139.4,68.1,415.1,105.8,1215.9,139.8,304.9,89110.61,-0.2,40.2,26.1,1948.1,84.2,863.1,2539761,9.6
PL41,40.1,1603.8,185.8,111.1,171.1,27.2,33.3,42,75.7,36.2,401.5,101.6,887.4,101.7,253.9,73377.78,-0.2,36,24.3,1648.1,71.2,647.7,2076120,11.4
PL51,39.2,1315.6,89.2,106.2,123.5,37.3,67.2,75.7,110.4,73.2,273,68.7,870.2,64.6,220.9,62188.31,-0.2,43.1,27.3,1356.3,68.8,635.6,1700139,10.7
PL61,39.6,873.5,101.7,67,83.4,19.2,25.8,32.6,63.1,25.7,179.3,61.8,527.3,48,155.7,31505.39,-1.7,33.5,37.5,907.5,51.7,337.6,1163133,12.6
PL63,39.9,1072.9,56.3,90.8,122.3,35.4,46.5,70.6,65.2,49.9,199,82.3,724.4,73.1,174.4,44868.79,3.6,45.5,28.2,1092.3,43.4,540.4,1377158,10.6
PL71,38.7,1058.6,107.8,83.1,88.2,25.7,34.9,46,79.3,34.1,223.8,69.5,667.2,84.1,167.6,45194.22,-0.8,35.8,33.2,1101.4,63.5,430.6,1383772,13.2
PL81,38.9,854.2,182.1,72.8,77.8,16.6,17.1,20.1,69.5,16,114.6,62,501.2,57.2,132,27062.47,0.8,36.8,24.7,888.5,65.2,363.3,1150389,12.7
PL91,39,1680.9,20.5,142.3,124.4,115.8,149.5,175.4,115.3,155.1,175.1,160.3,1414.1,91,288.1,137339.26,2.8,62.7,13.9,1711.8,57.6,1141.3,1982924,5.9
RO11,39.5,1064.9,120.9,49.5,129.2,11.8,19.3,29.4,61.1,19,271.3,47.5,558.5,67,218.3,39208.98,2.1,19.4,38.6,1094.7,64.7,241.1,1508673,17.4
RO12,39.6,867.7,75.7,44.7,102.1,9.4,11.7,18.9,50.3,12.1,260.3,33.9,437.8,51.4,172.4,34804.61,1.8,22.2,38.1,905.4,67.1,221.5,1317251,29.9
RO21,39.2,1247.2,322.8,63.8,203.6,9.8,16.7,18.7,56.2,16.3,159,43.1,593.3,57.9,271,32786.04,2.7,15.8,51.1,1319.3,139.5,230.7,1821464,20.8
RO31,39.6,1096.2,118.6,39,168.2,15.4,9.7,15.4,49.9,8.9,241.6,64.6,585.8,86.2,208.6,37020.11,1.7,14.9,53.3,1180.7,124,197.2,1656121,24.4
RO32,39.3,1125.5,7.4,48.2,127.4,36.8,107.1,112.1,82.1,105.3,73.3,77.6,927.8,88.2,265.2,95507.19,2.5,42.5,33,1156.5,37.7,529.7,1404253,10.8
SI03,38.1,493.9,29.4,46,51.6,7.7,12.8,20.9,42.8,9.9,127.8,27.7,297.6,18.2,78.9,26719.08,1.1,32.6,28.5,511.9,31.6,187.3,652558,9
SI04,38.1,466.2,12.4,39.5,38.6,12.6,25.6,34.1,36,20.9,95.3,25.5,331.1,23.6,88.5,37232.16,3.6,40,16.5,482,26.6,211.5,594250,7.1
SK02,37.4,875,24.9,60.7,102.5,21.4,20.3,31.7,59.7,19.7,260.5,58.5,502.4,58.5,150,38634.33,5,25.5,27.5,907.3,42.3,262.4,1119208,10.7
SK03,37.6,622,22.7,58.6,84.2,13.3,15.8,23.7,53,15.3,139.4,55.4,389.4,28.6,102.5,24452.14,1.4,28,28.5,660.2,50.4,204.5,803520,10.2
SK04,37.3,679.2,17.3,62.6,106,10.8,25.4,31.3,63.7,24.7,133,56.4,434.1,36,122,26340.75,5.8,27.4,28.5,754.1,88.4,233.8,956521,20.3
FI1B,34.4,835,5.4,66.3,67.5,26.3,81.2,96.2,113.1,79.5,78.9,49,725.7,42.4,133.9,106660,-2,47.6,27.2,897.2,123,477,1046610,10.4
FI1C,34.8,482.6,22.4,37.7,43.8,7.2,17.1,21.4,84.4,15.5,80.1,24.3,374.5,26,84.9,49396.72,-0.5,36.3,26.4,518.8,73.4,216.7,622759,11.5
FI1D,35.3,515.7,39.3,45.1,52.9,5.8,18,25.9,106.2,17.2,68.4,28.1,393,23.5,74.3,52817.78,-1.1,37,23.3,550.2,76.4,235.1,676117,13.6
SE12,35.4,779.1,17,97.5,62.4,8,43.6,54.5,137.8,34.2,106.8,67.3,645.7,31.3,105.6,79240.2,0.5,42.3,25.8,845.8,130.9,410.2,981962,7.6
SE22,35.5,727,14.3,93.8,56.3,16.4,43.1,46.3,115.9,45.9,67.2,57.7,637.1,38,99,70826.55,2.9,47.1,27.4,792.2,120.9,421.6,885133,7
SE23,35.8,985.9,17.8,119.9,76.6,9.7,58.3,65.7,162.4,54,119.5,87.4,853.3,47.4,141.1,105212.76,0.7,44.7,19.4,1052.5,126.7,535.7,1189094,7.6
SE31,35.6,375.3,12,51.6,33.9,5.5,10.4,10.9,57.9,10.6,53.9,31,300.7,16.3,51.8,33367.57,-7.6,38.6,22.9,400.2,50.3,169.2,456635,8.6
SE32,35.6,165.6,5.3,18.2,15.5,4.6,8.3,9.5,28.7,8.6,15.8,16.1,143.5,6,27.1,17232.94,0,37.6,17.4,174.7,20.3,75.6,200336,8.1
